state,county,county_fips,year,analyte_name,time_period,quarter,average_concentration,maximum_concentration,sdwa_limit,units,pws_id_number,pws_name,pws_primary_source_code,pws_population_served,pws_latitude,pws_longitude,over_limit_by
Colorado,Summit,08117,2008,TTHM (total trihalomethanes),Year,0,72.7,80.8,80,ug/L,CO0159063,HAMILTON CREEK MD,SW,162,39.54,-106.13,+0.8 ug/L
Colorado,Summit,08117,2008,TTHM (total trihalomethanes),Quarter,3,80.8,80.8,80,ug/L,CO0159063,HAMILTON CREEK MD,SW,162,39.54,-106.13,+0.8 ug/L
Colorado,Adams,08001,2008,TTHM (total trihalomethanes),Year,0,57.3,88.2,80,ug/L,CO0101075,HI LAND ACRES WSD,GW,350,39.96,-104.39,+8.2 ug/L
Colorado,Adams,08001,2008,TTHM (total trihalomethanes),Quarter,3,87.9,88.2,80,ug/L,CO0101075,HI LAND ACRES WSD,GW,350,39.96,-104.39,+8.2 ug/L
Colorado,Pueblo,08101,2008,TTHM (total trihalomethanes),Year,0,38.7,90.7,80,ug/L,CO0151750,ST CHARLES MESA WD,SW,11892,38.22,-104.52,+10.7 ug/L
Colorado,Pueblo,08101,2008,TTHM (total trihalomethanes),Quarter,3,61.1,90.7,80,ug/L,CO0151750,ST CHARLES MESA WD,SW,11892,38.22,-104.52,+10.7 ug/L
Colorado,Routt,08107,2008,TTHM (total trihalomethanes),Year,0,49.5,95.8,80,ug/L,CO0154743,TIMBERS WSD,SW,41,40.37,-106.79,+15.8 ug/L
Colorado,Routt,08107,2008,TTHM (total trihalomethanes),Quarter,3,95.8,95.8,80,ug/L,CO0154743,TIMBERS WSD,SW,41,40.37,-106.79,+15.8 ug/L
Colorado,San Miguel,08113,2008,TTHM (total trihalomethanes),Year,0,89,125.7,80,ug/L,CO0157500,NORWOOD WATER COMMISSION,SW,1700,37.97,-108.34,+45.7 ug/L
Colorado,Eagle,08037,2008,TTHM (total trihalomethanes),Year,0,41.9,116,80,ug/L,CO0119673,RED SKY RANCH,SW,50,39.68,-106.69,+36 ug/L
Colorado,Eagle,08037,2008,TTHM (total trihalomethanes),Quarter,1,60.2,116,80,ug/L,CO0119673,RED SKY RANCH,SW,50,39.68,-106.69,+36 ug/L
Colorado,Eagle,08037,2008,TTHM (total trihalomethanes),Year,0,41,103,80,ug/L,CO0119786,UPPER EAGLE REGIONAL WA,SW,14202,39.61,-106.69,+23 ug/L
Colorado,Eagle,08037,2008,TTHM (total trihalomethanes),Quarter,2,48.2,103,80,ug/L,CO0119786,UPPER EAGLE REGIONAL WA,SW,14202,39.61,-106.69,+23 ug/L
Colorado,Eagle,08037,2008,TTHM (total trihalomethanes),Quarter,4,36.1,81.9,80,ug/L,CO0119786,UPPER EAGLE REGIONAL WA,SW,14202,39.61,-106.69,+1.9 ug/L
Colorado,Montezuma,08083,2008,TTHM (total trihalomethanes),Year,0,55.1,93,80,ug/L,CO0142750,MESA VERDE NATIONAL PARK,SW,125,37.34,-108.28,+13 ug/L
Colorado,Montezuma,08083,2008,TTHM (total trihalomethanes),Quarter,3,93,93,80,ug/L,CO0142750,MESA VERDE NATIONAL PARK,SW,125,37.34,-108.28,+13 ug/L
Colorado,La Plata,08067,2008,TTHM (total trihalomethanes),Year,0,77.2,100.2,80,ug/L,CO0134530,LAKE DURANGO WA,SW,2800,37.34,-108.03,+20.2 ug/L
Colorado,La Plata,08067,2008,TTHM (total trihalomethanes),Quarter,1,75.6,89.5,80,ug/L,CO0134530,LAKE DURANGO WA,SW,2800,37.34,-108.03,+9.5 ug/L
Colorado,La Plata,08067,2008,TTHM (total trihalomethanes),Quarter,3,89.8,89.8,80,ug/L,CO0134530,LAKE DURANGO WA,SW,2800,37.34,-108.03,+9.8 ug/L
Colorado,La Plata,08067,2008,TTHM (total trihalomethanes),Quarter,4,82.3,100.2,80,ug/L,CO0134530,LAKE DURANGO WA,SW,2800,37.34,-108.03,+20.2 ug/L
Colorado,La Plata,08067,2008,TTHM (total trihalomethanes),Year,0,71.6,97.2,80,ug/L,CO0134840,GLACIER CLUB,SW,465,37.19,-108.02,+17.2 ug/L
Colorado,La Plata,08067,2008,TTHM (total trihalomethanes),Quarter,4,69.8,97.2,80,ug/L,CO0134840,GLACIER CLUB,SW,465,37.19,-108.02,+17.2 ug/L
Colorado,Larimer,08069,2008,TTHM (total trihalomethanes),Year,0,102,118.9,80,ug/L,CO0135538,NEWELL WARNOCK WA,SW,130,40.55,-105.53,+38.9 ug/L
Colorado,Larimer,08069,2008,TTHM (total trihalomethanes),Quarter,3,118.9,118.9,80,ug/L,CO0135538,NEWELL WARNOCK WA,SW,130,40.55,-105.53,+38.9 ug/L
Colorado,Larimer,08069,2008,TTHM (total trihalomethanes),Quarter,4,85.1,85.1,80,ug/L,CO0135538,NEWELL WARNOCK WA,SW,130,40.55,-105.53,+5.1 ug/L
Colorado,Larimer,08069,2008,TTHM (total trihalomethanes),Year,0,37.1,92.7,80,ug/L,CO0135838,WELLINGTON TOWN OF,SW,6250,40.71,-105.01,+12.7 ug/L
Colorado,Larimer,08069,2008,TTHM (total trihalomethanes),Quarter,3,76.7,92.7,80,ug/L,CO0135838,WELLINGTON TOWN OF,SW,6250,40.71,-105.01,+12.7 ug/L
Colorado,Mesa,08077,2008,TTHM (total trihalomethanes),Year,0,58,86.4,80,ug/L,CO0139205,DEBEQUE TOWN OF,SW,1350,39.33,-108.19,+6.4 ug/L
Colorado,Mesa,08077,2008,TTHM (total trihalomethanes),Quarter,3,86.4,86.4,80,ug/L,CO0139205,DEBEQUE TOWN OF,SW,1350,39.33,-108.19,+6.4 ug/L
Colorado,Mesa,08077,2008,TTHM (total trihalomethanes),Year,0,75,119.5,80,ug/L,CO0139220,GATEWAY CANYONS WS,GW,50,39.16,-108.6,+39.5 ug/L
Colorado,Mesa,08077,2008,TTHM (total trihalomethanes),Quarter,2,108.1,108.1,80,ug/L,CO0139220,GATEWAY CANYONS WS,GW,50,39.16,-108.6,+28.1 ug/L
Colorado,Mesa,08077,2008,TTHM (total trihalomethanes),Quarter,4,119.5,119.5,80,ug/L,CO0139220,GATEWAY CANYONS WS,GW,50,39.16,-108.6,+39.5 ug/L
Colorado,El Paso,08041,2009,TTHM (total trihalomethanes),Year,0,60.1,86.8,80,ug/L,CO0121845,US AIR FORCE ACADEMY,SWP,15200,39.05,-104.8,+6.8 ug/L
Colorado,El Paso,08041,2009,TTHM (total trihalomethanes),Quarter,2,57.5,82.4,80,ug/L,CO0121845,US AIR FORCE ACADEMY,SWP,15200,39.05,-104.8,+2.4 ug/L
