state,county,county_fips,year,analyte_name,time_period,quarter,average_concentration,maximum_concentration,sdwa_limit,units,pws_id_number,pws_name,pws_primary_source_code,pws_population_served,pws_latitude,pws_longitude
Colorado,Douglas,08035,2012,Uranium,Year,0,2,3,30,ug/L,CO0118015,Centennial Wsd,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2016,Uranium,Year,0,1.9333,3.2,30,ug/L,CO0118015,Centennial Wsd,SW,96394,39.52,-104.94
Colorado,Douglas,08035,2017,Uranium,Year,0,1.2333,1.9,30,ug/L,CO0118015,Centennial Wsd,SW,96394,39.52,-104.94
Colorado,Douglas,08035,2018,Uranium,Year,0,2.1,5.2,30,ug/L,CO0118015,Centennial Wsd,SW,96394,39.52,-104.94
Colorado,Douglas,08035,2019,Arsenic,Year,0,2.1667,5,10,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,Nitrate,Year,0,0.4,0.5,10,mg/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,DEHP [di(2-ethylhexyl)phthalate],Year,0,0.3,0.3,6,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,Atrazine,Year,0,0.05,0.05,3,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,HAA5 (haloacetic acids),Year,0,11.894,33,60,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,TTHM (total trihalomethanes),Year,0,35.525,53.5,80,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,TCE (trichloroethylene),Year,0,0.25,0.25,5,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,PCE (tetrachloroethylene),Year,0,0.25,0.25,5,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,Uranium,Year,0,0.667,2,30,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,Radium,Year,0,2.5667,4.6,5,pCi/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,HAA5 (haloacetic acids),Quarter,1,12.163,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,TTHM (total trihalomethanes),Quarter,1,27.65,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,HAA5 (haloacetic acids),Quarter,2,10.6,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,TTHM (total trihalomethanes),Quarter,2,25.963,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,Nitrate,Quarter,3,0.4,NA,10,mg/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,Atrazine,Quarter,3,0.05,NA,3,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,HAA5 (haloacetic acids),Quarter,3,13.488,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,TTHM (total trihalomethanes),Quarter,3,41.538,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,HAA5 (haloacetic acids),Quarter,4,11.325,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2019,TTHM (total trihalomethanes),Quarter,4,46.95,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,96394,39.52,-104.93
Colorado,Douglas,08035,2020,Arsenic,Year,0,4.1667,8,10,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,Nitrate,Year,0,0.5,0.5,10,mg/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,DEHP [di(2-ethylhexyl)phthalate],Year,0,0.3,0.3,6,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,Atrazine,Year,0,0.05,0.05,3,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,HAA5 (haloacetic acids),Year,0,9.8156,14,60,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,TTHM (total trihalomethanes),Year,0,31.6687,49.4,80,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,TCE (trichloroethylene),Year,0,0.25,0.25,5,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,PCE (tetrachloroethylene),Year,0,0.25,0.25,5,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,Uranium,Year,0,0.6667,1,30,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,Radium,Year,0,1.9667,3.7,5,pCi/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,HAA5 (haloacetic acids),Quarter,1,11.375,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,TTHM (total trihalomethanes),Quarter,1,24.85,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,HAA5 (haloacetic acids),Quarter,2,10.4125,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,TTHM (total trihalomethanes),Quarter,2,42.65,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,HAA5 (haloacetic acids),Quarter,3,7.3,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,TTHM (total trihalomethanes),Quarter,3,23.95,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,HAA5 (haloacetic acids),Quarter,4,10.175,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,TTHM (total trihalomethanes),Quarter,4,35.225,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,Nitrate,Quarter,3,0.5,NA,10,mg/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2020,Atrazine,Quarter,3,0.05,NA,3,ug/L,CO0118015,CENTENNIAL WSD,SW,96553,39.52,-104.94
Colorado,Douglas,08035,2021,Arsenic,Year,0,2.3333,3,10,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,Nitrate,Year,0,0.1833,0.4,10,mg/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,DEHP [di(2-ethylhexyl)phthalate],Year,0,0.3,0.3,6,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,Atrazine,Year,0,0.05,0.05,3,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,HAA5 (haloacetic acids),Year,0,10.9219,16.5,60,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,TTHM (total trihalomethanes),Year,0,36.325,57.4,80,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,TCE (trichloroethylene),Year,0,0.25,0.25,5,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,PCE (tetrachloroethylene),Year,0,0.25,0.25,5,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,HAA5 (haloacetic acids),Quarter,1,9.0375,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,TTHM (total trihalomethanes),Quarter,1,28.8375,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,HAA5 (haloacetic acids),Quarter,2,12.95,NA,60,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
Colorado,Douglas,08035,2021,TTHM (total trihalomethanes),Quarter,2,41.75,NA,80,ug/L,CO0118015,CENTENNIAL WSD,SW,103444,39.52,-104.94
